DJT
DNUT
UPS
VKTX
TSLA
ARM
SWAV
RUM
NILA
MESO
LUNR
STOK
OPGN
STX
SNDL
CCL
IP
NVEI.TO
F
WMT
CZOO
GOOS.TO
CHEK
CEIX
TNDM
FDX
BE
SMTC
NET
TLRY
